Source,Target,Weight,Type
300021,412251,0.7786561,Undirected
300021,412281,0.2806324,Undirected
300021,412320,0.8023716,Undirected
300021,412321,0.312253,Undirected
300021,412322,0.7075099,Undirected
300021,412323,0.2648221,Undirected
300021,412324,0.3794466,Undirected
300021,412325,0.2450593,Undirected
300021,412326,0.3043478,Undirected
300021,412330,0.2885376,Undirected
300021,412378,0.2727273,Undirected
300021,412390,0.2766798,Undirected
300021,412391,0.4387352,Undirected
300021,412471,0.7272727,Undirected
300021,412490,0.256917,Undirected
300021,412491,0.6877471,Undirected
300021,412492,0.6798419,Undirected
300021,412493,0.7193676,Undirected
300021,412494,0.8300395,Undirected
300021,412495,0.6679842,Undirected
300021,412496,0.7470356,Undirected
300021,412507,0.2529644,Undirected
300021,412542,0.256917,Undirected
300021,412545,0.3162055,Undirected
300021,412554,0.3399209,Undirected
300021,412556,0.8102767,Undirected
300021,412573,0.6482214,Undirected
300021,412582,0.2964427,Undirected
300021,412586,0.1422925,Undirected
300021,412597,0.173913,Undirected
300021,412598,0.03557312,Undirected
300023,300025,0.6047431,Undirected
300023,300027,0.7509881,Undirected
300023,300030,0.7549407,Undirected
300023,300038,0.284585,Undirected
300023,300041,0.7786561,Undirected
300023,300043,0.2885376,Undirected
300023,300047,0.7233202,Undirected
300023,300048,0.7826087,Undirected
300023,300051,0.3083004,Undirected
300023,300052,0.6877471,Undirected
300023,300055,0.6956522,Undirected
300023,300058,0.3003953,Undirected
300023,300060,0.01581028,Undirected
300023,300063,0.3438735,Undirected
300023,300064,0.04743083,Undirected
300023,300065,0.2924901,Undirected
300023,300066,0.2924901,Undirected
300023,300071,0.6640316,Undirected
300023,300072,0.7944664,Undirected
300023,300073,0.284585,Undirected
300023,300075,0.5889328,Undirected
300023,300076,0.2490119,Undirected
300023,300078,0.2964427,Undirected
300023,300080,0.4387352,Undirected
300023,300081,0.2648221,Undirected
300023,300082,0.3280632,Undirected
300023,300083,0.7747036,Undirected
300023,300084,0.2727273,Undirected
300023,300087,0.284585,Undirected
300023,300088,0.7786561,Undirected
300023,300089,0.8418972,Undirected
300023,300093,0.2964427,Undirected
300023,300100,0.2766798,Undirected
300023,400013,0.2806324,Undirected
300023,400034,0.7786561,Undirected
300023,400040,0.8577075,Undirected
300023,400050,0.2766798,Undirected
300023,400054,0.8063241,Undirected
300023,400064,0.2885376,Undirected
300023,400134,0.6561265,Undirected
300023,400194,0.8102767,Undirected
300023,400222,0.5731225,Undirected
300023,400253,0.09090909,Undirected
300023,400272,0.2648221,Undirected
300023,400284,0.7944664,Undirected
300023,400325,0.8023716,Undirected
300023,400357,0.2608696,Undirected
300023,400408,0.7549407,Undirected
300023,400412,0.312253,Undirected
300023,400413,0.2806324,Undirected
300023,400418,0.7391304,Undirected
300023,400432,0.8616601,Undirected
300023,400546,0.8339921,Undirected
300023,400576,0.6679842,Undirected
300023,402675,0.8063241,Undirected
300023,412194,0.2727273,Undirected
300023,412200,0.2806324,Undirected
300023,412205,0.3952569,Undirected
300023,412218,0.7035573,Undirected
300023,412223,0.2885376,Undirected
300023,412242,0.3083004,Undirected
300023,412243,0.3478261,Undirected
300023,412244,0.3043478,Undirected
300023,412246,0.312253,Undirected
300023,412247,0.2608696,Undirected
300023,412248,0.7549407,Undirected
300023,412251,0.7865613,Undirected
300023,412281,0.3043478,Undirected
300023,412320,0.8181818,Undirected
300023,412321,0.3399209,Undirected
300023,412322,0.7193676,Undirected
300023,412323,0.2766798,Undirected
300023,412324,0.4031621,Undirected
300023,412325,0.2687747,Undirected
300023,412326,0.3320158,Undirected
300023,412330,0.312253,Undirected
